                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1879,                 2.6931,                 1.5926,                0.74665,                0.21048,                0.21943,                0.15197,                  1.349,                 1.8129,                 1.8397,              0.0033287,              0.0033287,              0.0033287
                      2,                 1.0836,                 1.7333,                 1.4881,                0.60782,                 0.1614,                0.16139,                0.09591,                 1.5846,                  2.006,                 1.9158,              0.0065961,              0.0065961,              0.0065961
                      3,                  1.145,                 1.7952,                  1.548,                0.63563,                0.11797,                0.11551,                0.06608,                 1.6771,                  2.538,                 2.2601,              0.0097974,              0.0097974,              0.0097974
                      4,                 1.1728,                 1.8728,                 1.5799,                0.65529,                0.17284,                0.19134,                0.12745,                 1.5198,                 2.0218,                 2.0388,               0.009703,               0.009703,               0.009703
                      5,                 1.1405,                 1.7642,                 1.5534,                0.65865,                0.17005,                0.20858,                0.13614,                 1.5134,                 2.1512,                 2.0128,               0.009703,               0.009703,               0.009703
                      6,                 1.1119,                 1.7021,                 1.5318,                0.61927,                0.22598,                 0.2455,                0.16128,                 1.3813,                 1.5779,                 1.8881,               0.009604,               0.009604,               0.009604
                      7,                 1.0937,                 1.6073,                 1.5109,                 0.6355,                0.23282,                0.24388,                0.16559,                 1.3704,                  1.621,                  1.839,               0.009505,               0.009505,               0.009505
                      8,                 1.0828,                 1.5593,                 1.5014,                0.63904,                 0.2435,                0.26049,                0.17098,                 1.4024,                 1.5387,                 1.8929,               0.009406,               0.009406,               0.009406
                      9,                 1.0509,                 1.4686,                 1.4769,                0.60348,                0.23096,                0.27496,                0.18641,                 1.4052,                 1.4671,                   1.84,               0.009307,               0.009307,               0.009307
                     10,                 1.0454,                 1.4342,                 1.4662,                0.63469,                0.25462,                0.28009,                0.18882,                 1.3933,                 1.4222,                 1.8535,               0.009208,               0.009208,               0.009208
                     11,                 1.0263,                 1.3991,                 1.4567,                0.64876,                 0.2623,                0.28223,                0.19156,                 1.3512,                 1.3387,                 1.8328,               0.009109,               0.009109,               0.009109
                     12,                 1.0203,                 1.3752,                  1.449,                0.67095,                0.25406,                0.30577,                0.20914,                 1.3462,                 1.3352,                 1.7982,                0.00901,                0.00901,                0.00901
                     13,                 1.0059,                 1.3193,                 1.4357,                0.65376,                 0.2227,                0.25843,                0.17835,                 1.3296,                 1.4775,                  1.826,               0.008911,               0.008911,               0.008911
                     14,                 0.9972,                 1.3138,                 1.4335,                0.60511,                0.30547,                0.31074,                0.21698,                 1.2846,                 1.3087,                 1.7443,               0.008812,               0.008812,               0.008812
                     15,                0.99479,                 1.2747,                 1.4208,                0.50898,                0.30942,                0.30662,                0.21285,                 1.2977,                 1.2731,                 1.7364,               0.008713,               0.008713,               0.008713
                     16,                0.99613,                 1.2653,                 1.4264,                0.66528,                0.25743,                 0.3335,                 0.2252,                 1.3507,                 1.2628,                 1.7692,               0.008614,               0.008614,               0.008614
                     17,                0.98273,                 1.2204,                 1.4136,                0.60321,                0.29596,                 0.3438,                0.23907,                    1.3,                  1.258,                 1.7777,               0.008515,               0.008515,               0.008515
                     18,                0.97622,                 1.1802,                 1.4064,                 0.5141,                0.31616,                0.35016,                0.24683,                 1.2644,                  1.176,                 1.7057,               0.008416,               0.008416,               0.008416
                     19,                0.96078,                 1.1642,                 1.3979,                0.57078,                0.29086,                0.31251,                0.21481,                 1.2853,                 1.2648,                 1.7293,               0.008317,               0.008317,               0.008317
                     20,                0.96661,                 1.1549,                 1.3954,                 0.4346,                0.33442,                0.34393,                0.24582,                 1.2916,                 1.1979,                 1.6993,               0.008218,               0.008218,               0.008218
                     21,                0.94631,                 1.1205,                 1.3866,                0.64894,                0.28695,                0.33785,                0.24459,                 1.2695,                 1.1832,                 1.6663,               0.008119,               0.008119,               0.008119
                     22,                 0.9471,                 1.1145,                 1.3841,                0.61386,                0.31028,                0.35437,                0.25347,                 1.2771,                 1.1962,                 1.6803,                0.00802,                0.00802,                0.00802
                     23,                0.94295,                 1.0982,                 1.3769,                0.59311,                0.28564,                0.35577,                0.25545,                 1.2513,                  1.155,                  1.668,               0.007921,               0.007921,               0.007921
                     24,                0.93053,                 1.0659,                 1.3677,                0.53987,                0.35058,                0.34926,                0.24704,                 1.2647,                 1.1453,                 1.6599,               0.007822,               0.007822,               0.007822
                     25,                0.93582,                 1.0535,                  1.366,                0.56482,                0.33796,                0.34816,                0.24602,                 1.2603,                  1.143,                 1.6886,               0.007723,               0.007723,               0.007723
                     26,                0.92869,                 1.0366,                 1.3631,                0.60525,                0.32459,                0.37342,                0.26467,                 1.2772,                 1.1065,                 1.6755,               0.007624,               0.007624,               0.007624
                     27,                0.91346,                   1.01,                 1.3557,                 0.5852,                0.31455,                0.36627,                0.26659,                 1.2599,                 1.0927,                 1.6583,               0.007525,               0.007525,               0.007525
                     28,                0.92011,                 1.0011,                  1.351,                0.39354,                0.39937,                0.38782,                0.28277,                 1.2619,                  1.136,                 1.6746,               0.007426,               0.007426,               0.007426
                     29,                0.91058,                 1.0001,                 1.3498,                0.53173,                0.33195,                0.34668,                0.24688,                 1.2427,                 1.0976,                 1.6598,               0.007327,               0.007327,               0.007327
